,label,description
181,True,Builtin accessor functions must be named 'get foo' or 'set foo' (where 'foo' is the name of the property used to access the accessor)
182,False,Implement one-off searches from Awesomebar
183,True,"crash in mozilla::MediaPipelineFactory::CreateMediaPipelineReceiving(mozilla::JsepTrackPair const&, mozilla::JsepTrack const&, unsigned int, mozilla::RefPtr<T>, mozilla::RefPtr<T>, nsAutoPtr<T>, mozilla::RefPtr<T> const&)"
184,True,[Page Not Found] Learn More for Tracking in about:preferences#privacy
185,False,Eliminate nsIPrincipal::cookieJar
186,False,Investigate refactoring bytecode compilation
187,False,Use channel->asyncOpen2 in parser/htmlparser/nsExpatDriver.cpp
188,True,"2,000 instances of ""Called close() before start()!: 'mStarted'"" emitted from dom/workers/MessagePort.cpp during linux64 debug testing"
189,False,[meta] Performance Tools Fx42
190,True,cloned image node omits naturalWidth and naturalHeight properties
191,False,[GTK] nsGtkIMModule should be renamed to mozilla::widget::IMContextWrapper
192,True,WebSocketChannel accesses nsDocShell and nsDocument off the main thread
193,False,Replace nsBaseHashtable::EnumerateRead() calls in image/ with iterators
194,False,Replace nsBaseHashtable::EnumerateRead() calls in dom/quota/ with iterators
195,False,ARM64: Move Lowering's visitConstant() to shared code
196,False,Remove Decoder::GetDecodeTotallyDone()
197,False,Remove unused epoch time from RunFrameRequestCallbacks
198,True,"17.96% regression on browsermark 2.1, graphics SVG on July 22th, 2015"
199,False,Refactor service worker management code and implement limited lifetime for service workers
200,True,Elements flash/disappear on specific webpage
201,True,Missing bounds check causes memory-safety bug in ProgramBinary::linkAttributes
202,False,Drop subscriptions for a site when the user revokes push permissions
203,True,Set MOZ_CURRENT_PROJECT in post-build automation steps on universal builds
204,True,Fix insufficient includes in MediaEventSource.h
205,True,none-ion compile errors: invalid static_cast from LNode
206,True,"Assertion failure: this->is<T>(), at jsobj.h"
207,True,Fix dom/media/platforms/wmf/ compilation on mingw.
208,False,Use channel->ascynOpen2 toolkit/components/url-classifier/nsUrlClassifierStreamUpdater.cpp
209,False,remove PR_snprintf calls in intl/
210,False,Enable -Wshadow in directories that have no -Wshadow warnings
211,True,Intermittent test_peerConnection_basicAudioVideoNoBundleNoRtcpMux.html | Test timed out or PeerConnectionWrapper (pcRemote): legal ICE state transition from new to failed
212,True,shutdown crash in nsIPrincipal::GetAppStatus()
213,False,FxOS Geo Stumbling: refactor for independance of GonkGPS code
214,True,Toolbox can't be closed after setting a breakpoint
215,False,Various APIs should return same ServiceWorkerRegistration object with js equality
216,True,"""Stop Sharing"" in gUM in-use doorhanger doesn't revoke persistent permissions in different-domain iframe"
217,True,HTML5 Video on YouTube are not playing with FF 41 beta 7
218,False,[UX] need UX for hijacking recovery
219,False,Please disable e10s in aurora
220,True,[dev theme] Back button in the toolbar has additional border when tab history is expanded
221,True,PDF.js doesn't print barcode labels in PDF
222,True,Changing properties of a new bookmark while adding it acts on the last bookmark in the current container
223,False,Use channel->asyncOpen2() in dom/xul/XULDocument.cpp
224,True,colors that are set to CSS variables do not obey browser.display.document_color_use (breaks in-content pages in high contrast mode)
225,False,Audit the callers of the two-argument OriginAttributes constructor
226,True,WebGL 2 - GetQuery returns wrong query.
227,False,Remove the release-mode IsCallerChrome assertions from nsDOMWindowUtils
228,True,"Intermittent e10s browser_ctrlTab.js | Ctrl+Tab -> Ctrl+W removes one tab - Got 4, expected 3"
229,True,mach build faster doesn't update resource:///modules/MigrationUtils.jsm
230,True,"crash in mozilla::AudioChunk::SliceTo(__int64, __int64)"
231,True,Channelwrapper: Fix up maybeWrapChannel to wrap if not gecko internal channel
232,False,unsafe CPOW usage from non-addon code should throw
233,True,StructuedClone of ImageBitmap is actually transfer underlying Image which is not right.
234,True,Fix clang's -Wimplicit-fallthrough warnings in gfx/ipc/GfxMessageUtils.h
235,True,Crash [@ js::jit::AutoWritableJitCode::AutoWritableJitCode] with OOM
236,False,Remove the Request.context specific bits from fetch-request-resources.https.html
237,True,Can't reload the toolbox on windows 10
238,True,NS_ERROR_UNEXPECTED when reading heap snapshot
239,False,Style heap view
240,False,ServiceWorkerInfo should be an XPCOM object.
241,True,In-memory blobs over 1MB can't be played in a media element
242,True,Fix jarid in appcache after bug 1032254 landing
243,False,clarify ownership relationships for creators of AudioData
244,True,Another round of Reflect.parse tune-ups
245,False,Make filter input prettier
246,True,Long strings displayed in the memory tool tree causes the sidebar to collapse
247,True,KeyframeEffectReadOnly objects end up keeping lots of other objects alive too long
248,True,"MemoryActor should use ""runtime: true"" rather than ""debuggees: this.dbg"" when saving snapshots from browser toolbox"
249,True,"Assertion failure: v.isObject(), at js/src/jit/MacroAssembler.cpp:1947"
250,True,Measuring tool doesn't remove 'mouseleave' event listeners
251,False,Fix some indentation issue in ServiceWorkerManager
252,True,[EME] Shaka player ClearKey demo doesn't work in Firefox
253,True,"media/libav/libavutil/mem.c:34: /usr/include/malloc.h:3:2: error: ""<malloc.h> has been replaced by <stdlib.h>"""
254,True,Text shadow of emphasis marks should use the color of the shadow
255,True,MSE with trick mode DASH adaptation freezes playback on Firefox
256,True,[GTK3] Dropdown menu at wellsfargo.com is unreadable (text is pushed too far down & clipped)
257,True,"""Assertion failure: !Failed(), at ErrorResult.h:103"" - mozilla::dom::AbortablePromise::DoAbort"
258,True,[Static Analysis][Unchecked return value] Function CacheStorageService::DoomStorageEntries from CacheStorageService.cpp
259,True,"Assertion failure: shouldYFlip || srcStride != dstStride (Performance trap -- should handle this case earlier to avoid memcpy), at dom/canvas/WebGLTexelConversions.cpp:381"
260,False,Enable layout.css.text-emphasis.enabled by default
261,True,Remove the nursery performance cliff caused by putting large arrays in the WholeObjectBuffer
262,False,Change FrameActor to protocol.js
263,True,Intermittent browser_animation_timeline_scrubber_moves.js | This test exceeded the timeout threshold. It should be rewritten or split up.
264,False,test for bug  1233598
265,True,libmozavcodec not loaded on mac.
266,True,[WebGL2] pass getFramebufferAttachmentParameter in gl-object-get-calls.html
267,True,"Assertion failure: message, at js/src/jscntxt.cpp:818 with OOM"
268,True,fetch() function not always applying Headers to outbound requests.
269,False,"For HTML elements in HTML documents, NamedNodeMap should only have lowercase property names"
270,True,[Static Analysis][Uninitialized scalar field] In function js::FutexRuntime::FutexRuntime from AtomicsObject.cpp
271,True,Crash [@ ObjectType] or Crash [@ CanInlineSetPropTypeCheck] with use-after-free
272,False,Stop using ICU's autoconf build system
273,False,Implement LinkStyle for SVGStyleElement interface
274,True,createImageBitmap ends up throwing wrong exceptions
275,True,CSS bug with mouse over effect
276,True,KeyframeEffectReadOnly constructor crashes when the target element does not have the parent?
277,False,Annotate addonId into crash report
278,True,It's hard to read text on Error pages in iframes (first letters in each row are completely clipped)
279,False,Panning and zooming an input field when it gains focus has too much latency in Fennec
280,True,[DevTools][Memory] The cursor type is not I-beam when the mouse pointer is over the heap-view
281,False,VR HMDs should create their own VsyncSource; widget/etc. should keep track and switch to listening to them
282,True,"Assertion failure: result ([OOM] Is it really infallible?), at js/src/ds/LifoAlloc.h:281 with BacktrackingAllocator involved"
283,True,"###!!! ASSERTION: Null pres shell: 'mShell', file ../../dist/include/nsPresContext.h, line 171"
284,False,implement KeyframeEffectReadOnly spacing modes
285,False,Use BlockDuration (when available) rather than estimating frame duration
286,True,"Wave Decoding on problematic files, and 6-8 channel files"
287,True,Swapping docShells doesn't work for regular browser elements
288,True,crash in mozilla::detail::RefCounted<T>::Release while PopClip in D2D
289,True,Fix OOM handling in usages of GlobalObject::maybeGetIntrinsicValue
290,True,"Assertion failure: hasOptimizations(), at js/src/jit/CompileInfo.h:168"
291,True,"Assertion failure: box->initialHeap() == initialHeap(), at js/src/jit/MIR.h:3460"
292,False,Continue showing AccessibleCaret when scrolling or panning the page
293,True,Ensure Accelerated Canvas on Mac happens only on 10.7 or later
294,True,crash in mozilla::AccessibleCaretEventHub::HandleTouchEvent
295,False,Implement basic DOM bindings for Servo
296,False,Remove NS_SUCCESS_I_DID_SOMETHING
297,True,"100% reproducible AsyncShutdown crash: ""SessionFile: Finish writing Session Restore data"""
298,False,get rid of HTML table CacheChildren
299,False,No need to reset mReader in ~MediaDecoderStateMachine()
300,False,Move resource files in layout/style/ into res/ directory
301,False,Unfocused text color in light theme has very low contrast
302,True,Crash [@ EncodeLatin1] with OOM
303,True,Do not compress forward-icon in the default theme on Windows 10
304,True,Stack Exhaustion starting at xul!_moz_cairo_region_create_rectangles
305,False,MOZ_MUST_USE treats expressions evaluating to lvalue references as MUST_USE
306,True,Regression: distribution setting user prefs instead of default prefs
307,False,Switch the AutoEntryScripts in nsDirectoryViewer to take ownership of error reporting
308,True,Graphite 2 vm::Machine::Code::estimateCodeDataOut underestimation leads to buffer overflow
309,False,Remove AutoJSAPI::InitWithLegacyErrorReporting
310,True,about:home (homepage) doesn't switch to overflowed mode when it's loaded in a narrow content area
311,False,simplify and cleanup ServiceWorkerInfo
312,False,IonMonkey: MIPS: Detect Loongson at runtime
313,True,accessible/windows/msaa/AccessibleWrap.cpp(1528): warning C4312: 'reinterpret_cast': conversion from 'const LONG' to 'void *' of greater size
314,True,JS JIT tests failing on VS2015 builds due to missing universal CRT DLLs
315,True,graphite2: use of uninitialized memory in [@graphite2::vm::Machine::run]
316,True,Firefox 45 fails to send Cookie header with XHR post requests done from a web worker when third-party cookies are blocked
317,False,Use curly quotes instead of single quotes in our user facing strings
318,True,"Intermittent browser_computed_search-filter_clear.js | This test exceeded the timeout threshold. It should be rewritten or split up. If that's not possible, use requestLongerTimeout(N), but only as a last resort. -"
319,True,Don't fallback to Desktop GL via WGL when ANGLE fails on Windows
320,False,Clean up getCurrentCensusTaker style
321,True,Fix image/test/mochitest/test_animation2.html to test what it is intending to test
322,True,"Avoid WARNING: NS_ENSURE_SUCCESS(rv, rv) failed with result 0x80040111 in dom/base/nsFrameLoader.cpp during startup"
323,True,Avoid JavaScript strict warning in AppsUtils.jsm during startup
324,False,Image loads for URLs that fail to resolve don't dispatch error event
325,False,SRI: implement require-sri-for resources (enforce Subresource Integrity)
326,True,don't rely on the views we stash when we destroy a subdocument frame to stick around
327,True,service workers should check for devtools http testing option on top window
328,True,Suggestions twitch when I edit string in location bar
329,True,crash in nsHTMLEditor::SplitStyleAbovePoint
330,True,test_animations_with_disabled_properties.html and test_transitions_with_disabled_properties.html are going to permafail when Gecko 48 merges to Beta (TypeError: display.getAnimations is not a function)
331,False,Change app.update.promptWaitTime preference to 8 days on the release (includes beta) and aurora channels
332,False,implement ServoStyleSet::ResolveStyleForNonElement for text nodes
333,False,Give fullscreenElement and fullscreenEnabled attributes a dummy setter rather than making them readonly
334,True,nestegg: use-of-uninitialized-value in [@ne_find_cue_point_for_tstamp]
335,True,Send invalidations for the first image frame properly
336,True,Integer reflected attributes on elements cannot store INT32_MIN
337,False,Reduce media threadpool size
338,False,[Decoder Doctor] Default-enable notifications for WMF-missing on Nightly 49
339,False,Binary Key Support
340,True,_getSearchEngineId's fallback to the engine name can leak user data
341,False,Use Immutable data structures in messages reducer
342,False,Move GenerateCSSPropsGenerated.py invocation to moz.build
343,False,make alerting for changes in num_constructors more agressive.
344,False,Add OS to Sync user agent string
345,False,Elucidate reference counting of SharedImmutableStringsCache
346,True,"Supporting ""display: -webkit-flex"" as an alias for ""display: flex"" (and associated properties)"
347,False,Audit frame iterators for saved frame chain removal
348,True,crash in igd10*.dll
349,False,Use DOMWindowCreated instead DOMContentLoaded to propagate the userContextId from content to parent process
350,False,Rename RegionBuilder::Or to RegionBuilder::OrWith
351,True,"When inserting a link into HTML composition, the text part sometimes gets linkified upon send resulting in a double link. Regression from bug 964024."
352,True,"75% permafail on WinXP test_outerHTML.xhtml,test_picture_mutations.html,test_picture_pref.html,test_pointerPreserves3D.html,test_pointerPreserves3DClip.html,test_resource_timing.html, | application timed out after 330 seconds with no output"
353,False,Add sdp for video FEC
354,False,Have MozBoot support msys2
355,True,Fix -Wshadow warnings in dom/media/ogg/
356,True,HTML Tooltip keeps the focus after being hidden
357,False,Improve existing bookmarks tracker tests
358,False,[RTL] The search go arrow should point left
359,False,Show JS stack traces of Fetch requests in Netmonitor
360,True,pixman: integer overflow in create_bits function
361,False,Remove run-time Mavericks checks in nsAppShell.mm
362,False,Rename all our JSContext stuff to be nicer
363,False,Bootstrap out-of-process PCompositorBridge
364,False,Implement the step attribute for <input type=month>
365,True,Disable paint-skipping for elements with the CSS clip property
366,False,"Add functionality in ARIAMap to use integer index instead of a raw pointer for role map entries, and change the Accessible class to use this index for its role map entry variable"
367,True,heap-use-after-free in nsNodeUtils::NativeAnonymousChildListChange
368,False,Replace |nsiSupports owner| with |nsIPrincipal triggeringPrincipal| within nsIDocShell
369,False,Ensure ScrollMetadata::sNullMetadata is initialized in the GPU process
370,False,Replace ownerGlobal with ownerDocument.defaultView in devtools frontend
371,True,[wasm] Debugger source view hang at removeBreakpoints when viewing AngryBots
372,False,Update media telemetry probes expiring in Firefox 50.
373,False,Add an ISurfaceProvider for single-frame images that also serves as an IDecodingTask
374,True,"Fix e10s issues in resending HTTP requests, enable browser_net_resend.js test"
375,True,"2.87 - 5.19% damp  (windows7-32, windows8-64) regression on push 0372c7296be3197d796edadfa6a13197d1019024 (Sat Aug 6 2016)"
376,True,"many WorkerHolder classes expect to get Terminated status, but HoldWorker() does not fail if worker is already Terminated"
377,True,[e10s-multi] unexpected pass in browser_forgetaboutsite.js with multiple content processes
378,False,"jslock.h is dead, long live jsnspr.h"
379,True,"avoid compiling {Read,Write}Sentinel calls in non-sentinel checking builds"
380,False,sourceeditor setAutocompletionText could be faster
381,False,Add smooth scrolling when clicking on closing tag of expanded node
382,True,Clipboard (Paste /Copy function) does not work on this release  (MacOS)
383,True,Big slowdown happening every x minutes
384,True,Venmo.com doesn't accept auto-filled username and password on login form
385,False,Deploy Infernyx 0.2.16
386,False,Update help icon to photon styling.
387,False,Add flag to IsSafeModeRequested that skips key press checks
388,False,Enable the launcher process by default on Nightly
389,True,DevTools tab reordering is not working in RTL locales
390,True,Trying PIP mode after an unsuccessful other crashes the app
391,True,"[Linux]Suggested list closes when trying to navigate through the one-offs using ""ALT"" key + ""↓"" arrow key"
392,True,Slotted nodes not being displayed in a shadow DOM tree if the node is a text
393,False,Use fluent for about:restartrequired
394,True,Private active tab not shown correctly on iPad with the latest private mode changes
395,False,Migrating Pocket off any bootstrap code
396,True,Address bar does not autofill unvisited bookmark URLs
397,False,Re-enable the NUMBER_OF_PROFILES probe
398,False,Enable multiselect tabs feature on early beta builds
399,False,"When notifying listeners that a study is ending, include the reason why the study is ending"
400,True,Clicking remove on a study in about:studies doesn't work
401,False,Link to the new content blocking onboarding from about:privatebrowsing when the CB UI is enabled
402,False,Remove vswhere binary from the tree
403,True,Devtools flickering
404,True,"Unable to adjust height, and width of devtools window (Firefox-Nightly)"
405,False,Review mechanism to update actors spawned in parent process after a browser-swap
406,False,Add indicator for which window has a sound-playing tab in Taskbar window popup
407,True,Window isn't restored in prior position on external-monitor with > 100% DPI
408,True,Unable to open Nightly for Android
409,True,Crash when turning off a11y during auto-fill
410,True,Unable to log into any google services with GeckoView
411,False,[META] improve about:addons usability
412,False,annotate Windows crash reports with whether system has error-correcting (ECC) RAM (MemoryErrorCorrection)
413,True,26KB base content JS memory regression from bug 1483002
414,True,GeckoDriver broken on mingw build
415,False,Remove xpt.py
416,False,"Remove support for ""annotations"" options to PlacesTransactions.NewBookmark/NewFolder/NewLivemark"
417,True,XCUITests: ActivityStream tests failing intermittently
418,True,Fennec x86 dosen't build with NDK 16+
419,False,[remote-dbg-next] Internationalize components/debugtarget/ExtensionDetail.js
420,True,Unaligned title in Data Managment menu
421,True,Wrong project name in README.md of focus-ios
422,False,Re-enable clang-cl warnings in gfx/gl/
423,False,GV API to selectively delete user data using GeckoSession (Clear User Data API)
424,True,PrioEncoder/libprio hitting assertion in freebl/ctr.c
425,True,Default cookie restrictions broke Fx Accounts signup page
426,True,Sync isn't working
427,True,crash tab when i write js comment
428,True,Just updated to 62.0 64 bit and my internet explorer bookmarks are gone. I read the statement about being removed on the next update but theyre gone now
429,False,Implement galeon-style smart bookmarks toolbar
430,False,Make GeckoDisplay and PanZoomController constructors protected
431,True,Firefox password Not update in new version
432,True,0.79% installer size (osx-cross) regression on push 238267dc78ec3dd4bbf2f996bea4e877547e69e8 (Fri Sep 7 2018)
433,True,"Forced crash with MOZ_CRASH(""Shutdown hanging before starting."")"
434,False,Compare FF60 with FF63 Talos results
435,True,[Regression] Top sites view is broken after removing a top site
436,False,Investigate removing the lresolv hack for Rust builds on MacOS
437,False,Update pdf.js to version 2.0.843
